Model,Type,Precision,Recall,F1
T5-base,Seq2Seq,10.42,4.59,6.37
FlanT5 (5-shot),Seq2Seq,0.0,0.0,0.0
mT5,Seq2Seq,11.11,3.67,5.52
mBERT,Encoder,52.54,56.88,54.63
XLM-R,Encoder,57.38,64.22,60.61
FlanT5 (0-shot),Seq2Seq,6.0,2.75,3.77
